origin_city,origin_iata,destination_city,destination_iata,flight_duration_hr,airline,stops,class,estimated_price_usd,estimated_price_eur
Tokyo,HND,Buenos Aires,EZE,17.1,LATAM,2 escalas,Económica Premium,770.93,709.26
Tokyo,HND,Buenos Aires,EZE,2.1,Singapore Airlines,1 escala,Primera Clase,773.77,711.87
Tokyo,HND,Cairo,CAI,3.7,Aeroméxico,1 escala,Business,1248.38,1148.51
Tokyo,HND,Calgary,YYC,14.9,LATAM,1 escala,Económica Premium,507.24,466.66
Tokyo,HND,Calgary,YYC,12.9,Turkish Airlines,Directo,Económica Premium,1419.58,1306.01
Tokyo,HND,Cancún,CUN,10.9,British Airways,1 escala,Económica Premium,1209.14,1112.41
Tokyo,HND,Cancún,CUN,6.4,Qatar Airways,Directo,Primera Clase,1837.34,1690.35
Tokyo,HND,Cape Town,CPT,17.4,Qatar Airways,2 escalas,Económica,1715.39,1578.16
Tokyo,HND,Cape Town,CPT,15.5,United,Directo,Económica Premium,568.46,522.98
Tokyo,HND,Cape Town,CPT,3.4,Aeroméxico,1 escala,Económica Premium,504.14,463.81
Tokyo,HND,Caracas,CCS,5.6,Singapore Airlines,Directo,Económica Premium,683.5,628.82
Tokyo,HND,Cartagena,CTG,9.1,Turkish Airlines,1 escala,Business,1386.69,1275.75
Tokyo,HND,Cartagena,CTG,9.9,Singapore Airlines,1 escala,Económica,430.14,395.73
Tokyo,HND,Casablanca,CMN,6.6,Singapore Airlines,Directo,Primera Clase,1255.83,1155.36
Tokyo,HND,Casablanca,CMN,9.4,LATAM,Directo,Business,392.76,361.34
Tokyo,HND,Chennai,MAA,2.5,LATAM,1 escala,Económica Premium,1649.46,1517.5
Tokyo,HND,Chennai,MAA,15.4,Air France,Directo,Primera Clase,2387.88,2196.85
Tokyo,HND,Chicago,ORD,5.1,Turkish Airlines,Directo,Business,793.95,730.43
Tokyo,HND,Chicago,ORD,3.0,United,Directo,Business,1377.45,1267.25
Tokyo,HND,Chicago,ORD,1.8,Qatar Airways,2 escalas,Económica,805.03,740.63
Tokyo,HND,Ciudad de México,MEX,3.0,LATAM,2 escalas,Económica Premium,1622.32,1492.53
Tokyo,HND,Copenhague,CPH,5.6,American Airlines,Directo,Primera Clase,1696.32,1560.61
Tokyo,HND,Copenhague,CPH,4.2,Delta,1 escala,Económica Premium,529.93,487.54
Tokyo,HND,Copenhague,CPH,13.3,United,1 escala,Económica,290.65,267.4
Tokyo,HND,Doha,DOH,17.7,American Airlines,Directo,Business,1198.27,1102.41
Tokyo,HND,Dubai,DXB,6.4,United,1 escala,Económica Premium,409.39,376.64
Tokyo,HND,Dubai,DXB,4.3,Singapore Airlines,1 escala,Primera Clase,2627.4,2417.21
Tokyo,HND,Dublin,DUB,5.2,Aeroméxico,2 escalas,Business,1503.85,1383.54
Tokyo,HND,Estambul,IST,10.6,Aeroméxico,1 escala,Económica Premium,1511.63,1390.7
Tokyo,HND,Estocolmo,ARN,14.7,Emirates,1 escala,Business,422.07,388.3
Tokyo,HND,Estocolmo,ARN,15.0,British Airways,1 escala,Primera Clase,1885.63,1734.78
Tokyo,HND,Ginebra,GVA,13.5,Singapore Airlines,1 escala,Primera Clase,1880.25,1729.83
Tokyo,HND,Guadalajara,GDL,1.7,LATAM,Directo,Primera Clase,965.09,887.88
Tokyo,HND,Guadalajara,GDL,15.1,LATAM,Directo,Business,830.09,763.68
Tokyo,HND,Hanoi,HAN,17.9,Delta,1 escala,Primera Clase,272.22,250.44
Tokyo,HND,Hanoi,HAN,16.5,Aeroméxico,Directo,Business,1154.45,1062.09
Tokyo,HND,Helsinki,HEL,3.9,Emirates,Directo,Business,872.92,803.09
Tokyo,HND,Ho Chi Minh City,SGN,4.9,Qatar Airways,Directo,Económica Premium,119.38,109.83
Tokyo,HND,Ho Chi Minh City,SGN,5.5,American Airlines,Directo,Business,2036.07,1873.18
Tokyo,HND,Honolulu,HNL,16.9,United,Directo,Business,88.91,81.8
Tokyo,HND,Houston,IAH,13.9,Lufthansa,1 escala,Primera Clase,1900.03,1748.03
Tokyo,HND,Hyderabad,HYD,4.3,United,2 escalas,Económica Premium,622.57,572.76
Tokyo,HND,Hyderabad,HYD,7.6,Lufthansa,2 escalas,Business,2232.86,2054.23
Tokyo,HND,Jakarta,CGK,9.9,Turkish Airlines,2 escalas,Económica,1625.68,1495.63
Tokyo,HND,Jakarta,CGK,3.9,LATAM,Directo,Económica Premium,1089.29,1002.15
Tokyo,HND,Jakarta,CGK,2.2,United,Directo,Económica Premium,1424.46,1310.5
Tokyo,HND,Jerusalén,TLV,7.1,Aeroméxico,2 escalas,Primera Clase,1286.67,1183.74
Tokyo,HND,Jerusalén,TLV,3.9,American Airlines,2 escalas,Económica Premium,1445.05,1329.45
Tokyo,HND,Johannesburg,JNB,2.9,American Airlines,1 escala,Business,1419.49,1305.93
Tokyo,HND,Johannesburg,JNB,12.7,United,2 escalas,Business,2296.42,2112.71
Tokyo,HND,Kitzbühel,,14.3,Aeroméxico,Directo,Business,1131.88,1041.33
Tokyo,HND,Kuala Lumpur,KUL,4.1,Lufthansa,Directo,Primera Clase,1095.17,1007.56
Tokyo,HND,Kuala Lumpur,KUL,4.1,Lufthansa,1 escala,Económica Premium,247.27,227.49
Tokyo,HND,Kuwait City,KWI,7.5,Singapore Airlines,1 escala,Business,271.88,250.13
Tokyo,HND,Kuwait City,KWI,5.8,Turkish Airlines,1 escala,Económica Premium,749.78,689.8
Tokyo,HND,Kuwait City,KWI,14.8,Aeroméxico,1 escala,Primera Clase,1124.71,1034.73
Tokyo,HND,Kuwait City,KWI,9.2,Turkish Airlines,1 escala,Económica Premium,1229.47,1131.11
Tokyo,HND,Lima,LIM,10.8,British Airways,2 escalas,Económica Premium,1977.41,1819.22
Tokyo,HND,Lima,LIM,9.2,American Airlines,1 escala,Económica,714.78,657.6
Tokyo,HND,Lima,LIM,4.6,Delta,2 escalas,Business,1436.56,1321.64
Tokyo,HND,Lisboa,LIS,16.4,Air France,2 escalas,Business,1356.87,1248.32
Tokyo,HND,Londres,LHR,16.7,Aeroméxico,Directo,Económica Premium,1105.1,1016.69
Tokyo,HND,Londres,LHR,10.9,Aeroméxico,Directo,Económica Premium,1532.68,1410.07
Tokyo,HND,Los Angeles,LAX,12.7,Air France,1 escala,Económica Premium,360.33,331.5
Tokyo,HND,Los Angeles,LAX,6.6,Turkish Airlines,Directo,Económica Premium,1011.71,930.77
Tokyo,HND,Luxembourg,LUX,7.8,Emirates,1 escala,Primera Clase,1037.17,954.2
Tokyo,HND,Madrid,MAD,1.7,American Airlines,Directo,Primera Clase,1061.98,977.02
Tokyo,HND,Manama,BAH,8.7,Delta,1 escala,Económica,803.35,739.08
Tokyo,HND,Manama,BAH,1.7,Aeroméxico,2 escalas,Primera Clase,1361.9,1252.95
Tokyo,HND,Manila,MNL,6.1,Lufthansa,1 escala,Económica,320.29,294.67
Tokyo,HND,Marrakech,RAK,17.7,Emirates,2 escalas,Económica Premium,1385.21,1274.39
Tokyo,HND,Medellín,MDE,14.2,Singapore Airlines,1 escala,Business,1206.37,1109.86
Tokyo,HND,Medellín,MDE,3.2,American Airlines,2 escalas,Business,1206.28,1109.78
Tokyo,HND,Melbourne,MEL,9.1,Aeroméxico,Directo,Primera Clase,1237.2,1138.22
Tokyo,HND,Melbourne,MEL,7.2,United,2 escalas,Business,1539.7,1416.52
Tokyo,HND,Melbourne,MEL,17.4,Singapore Airlines,1 escala,Económica,498.61,458.72
Tokyo,HND,Melbourne,MEL,13.3,American Airlines,Directo,Business,2357.11,2168.54
Tokyo,HND,Miami,MIA,3.3,Emirates,2 escalas,Business,1067.9,982.47
Tokyo,HND,Monaco,NCE,3.1,LATAM,2 escalas,Business,733.25,674.59
Tokyo,HND,Montreal,YUL,13.1,British Airways,Directo,Económica,717.04,659.68
Tokyo,HND,Moscú,SVO,4.2,Delta,2 escalas,Económica,1821.83,1676.08
Tokyo,HND,Moscú,SVO,4.4,American Airlines,Directo,Económica Premium,1228.11,1129.86
Tokyo,HND,Moscú,SVO,1.9,Air France,Directo,Económica,448.61,412.72
Tokyo,HND,Mumbai,BOM,7.8,Emirates,2 escalas,Primera Clase,1410.06,1297.26
Tokyo,HND,Mykonos,JMK,4.1,Singapore Airlines,Directo,Económica Premium,1467.87,1350.44
Tokyo,HND,Nairobi,NBO,2.3,Singapore Airlines,1 escala,Económica,658.78,606.08
Tokyo,HND,New Delhi,DEL,13.9,Turkish Airlines,1 escala,Primera Clase,396.48,364.76
Tokyo,HND,New Delhi,DEL,3.9,British Airways,Directo,Económica,1139.4,1048.25
Tokyo,HND,Nueva York,NYC,12.8,Singapore Airlines,2 escalas,Económica Premium,1290.21,1186.99
Tokyo,HND,Osaka,KIX,2.8,Air France,1 escala,Económica,1692.23,1556.85
Tokyo,HND,Osaka,KIX,5.6,Lufthansa,Directo,Primera Clase,1180.42,1085.99
Tokyo,HND,Oslo,OSL,11.7,Aeroméxico,Directo,Económica,161.93,148.98
Tokyo,HND,Oslo,OSL,14.9,United,2 escalas,Business,568.97,523.45
Tokyo,HND,Ottawa,YOW,1.9,Qatar Airways,Directo,Primera Clase,788.31,725.25
Tokyo,HND,Panama City,PTY,16.0,LATAM,1 escala,Business,515.14,473.93
Tokyo,HND,París,CDG,2.9,LATAM,1 escala,Económica,1701.11,1565.02
Tokyo,HND,París,CDG,7.6,Delta,Directo,Económica,668.86,615.35
Tokyo,HND,Perth,PER,6.4,British Airways,2 escalas,Económica Premium,1390.43,1279.2
Tokyo,HND,Perth,PER,2.9,Aeroméxico,1 escala,Primera Clase,2441.5,2246.18
Tokyo,HND,Praga,PRG,2.7,Lufthansa,1 escala,Económica,143.54,132.06
Tokyo,HND,Punta Cana,PUJ,4.9,United,1 escala,Primera Clase,1507.68,1387.07
Tokyo,HND,Quebec,YQB,8.5,United,1 escala,Business,1045.5,961.86
Tokyo,HND,Quito,UIO,8.1,Air France,2 escalas,Business,1241.08,1141.79
Tokyo,HND,Reykjavik,KEF,11.4,Turkish Airlines,Directo,Económica Premium,1724.04,1586.12
Tokyo,HND,Riga,RIX,17.8,Delta,2 escalas,Primera Clase,634.42,583.67
Tokyo,HND,Roma,FCO,7.9,Singapore Airlines,1 escala,Económica,96.43,88.72
Tokyo,HND,Río de Janeiro,GIG,17.8,Aeroméxico,1 escala,Business,1244.38,1144.83
Tokyo,HND,Río de Janeiro,GIG,15.8,Air France,1 escala,Business,1704.87,1568.48
Tokyo,HND,San Francisco,SFO,6.2,Singapore Airlines,2 escalas,Económica Premium,684.72,629.94
Tokyo,HND,San Francisco,SFO,7.2,Aeroméxico,1 escala,Business,1620.03,1490.43
Tokyo,HND,San Juan,SJU,12.9,Qatar Airways,1 escala,Primera Clase,101.62,93.49
Tokyo,HND,San Juan,SJU,11.4,LATAM,2 escalas,Económica,868.56,799.08
Tokyo,HND,San Marino,RMI,16.6,Aeroméxico,Directo,Business,784.46,721.7
Tokyo,HND,Santiago,SCL,8.7,Qatar Airways,Directo,Business,1880.97,1730.49
Tokyo,HND,Seúl,ICN,17.4,American Airlines,2 escalas,Primera Clase,136.27,125.37
Tokyo,HND,Seúl,ICN,4.0,Turkish Airlines,Directo,Económica Premium,628.88,578.57
Tokyo,HND,Shanghai,PVG,15.6,LATAM,Directo,Business,423.86,389.95
Tokyo,HND,Shanghai,PVG,11.0,Turkish Airlines,2 escalas,Business,1963.16,1806.11
Tokyo,HND,Singapore,SIN,11.2,LATAM,Directo,Económica Premium,1321.37,1215.66
Tokyo,HND,Singapore,SIN,17.2,Lufthansa,2 escalas,Primera Clase,392.18,360.81
Tokyo,HND,Singapore,SIN,4.3,Delta,Directo,Económica Premium,1226.24,1128.14
Tokyo,HND,Sydney,SYD,4.0,Air France,1 escala,Económica Premium,1913.31,1760.25
Tokyo,HND,São Paulo,GRU,12.3,Singapore Airlines,2 escalas,Económica,636.66,585.73
Tokyo,HND,São Paulo,GRU,2.7,Lufthansa,1 escala,Primera Clase,1725.01,1587.01
Tokyo,HND,São Paulo,GRU,1.6,United,Directo,Económica,1087.4,1000.41
Tokyo,HND,São Paulo,GRU,1.5,American Airlines,2 escalas,Primera Clase,2780.86,2558.39
Tokyo,HND,Tallinn,TLL,17.5,Qatar Airways,Directo,Económica Premium,613.86,564.75
Tokyo,HND,Teherán,THR,3.4,Air France,2 escalas,Económica Premium,946.9,871.15
Tokyo,HND,Teherán,THR,10.1,Singapore Airlines,2 escalas,Económica Premium,599.07,551.14
Tokyo,HND,Teherán,THR,11.3,British Airways,Directo,Primera Clase,1388.54,1277.46
Tokyo,HND,Toronto,YYZ,7.2,Lufthansa,1 escala,Económica Premium,1468.23,1350.77
Tokyo,HND,Túnez,TUN,7.9,Air France,1 escala,Económica,594.18,546.65
Tokyo,HND,Túnez,TUN,10.9,Qatar Airways,Directo,Primera Clase,2601.78,2393.64
Tokyo,HND,Túnez,TUN,4.3,Lufthansa,2 escalas,Económica,689.1,633.97
Tokyo,HND,Túnez,TUN,9.0,Aeroméxico,2 escalas,Business,2224.7,2046.72
Tokyo,HND,Valletta,MLA,6.5,Qatar Airways,1 escala,Económica Premium,922.93,849.1
Tokyo,HND,Vancouver,YVR,9.0,Turkish Airlines,Directo,Business,736.86,677.91
Tokyo,HND,Vancouver,YVR,8.3,British Airways,2 escalas,Económica,343.54,316.06
Tokyo,HND,Vienna,VIE,9.8,Qatar Airways,2 escalas,Business,1654.03,1521.71
Tokyo,HND,Vilnius,VNO,12.1,Turkish Airlines,Directo,Primera Clase,844.5,776.94
Tokyo,HND,Vilnius,VNO,14.8,American Airlines,Directo,Económica,644.01,592.49
Tokyo,HND,Vilnius,VNO,10.0,Emirates,Directo,Business,1785.25,1642.43
Tokyo,HND,Warsaw,WAW,15.2,United,Directo,Primera Clase,944.34,868.79
Tokyo,HND,Warsaw,WAW,17.3,United,Directo,Económica Premium,601.34,553.23
Tokyo,HND,Wellington,WLG,11.5,Air France,2 escalas,Business,157.26,144.68
Tokyo,HND,Wellington,WLG,15.3,Turkish Airlines,2 escalas,Primera Clase,534.54,491.78
Tokyo,HND,Zurich,ZRH,4.9,Qatar Airways,1 escala,Business,572.32,526.53
Tokyo,HND,Zurich,ZRH,16.0,Emirates,2 escalas,Business,1763.56,1622.48
Tokyo,HND,Zurich,ZRH,17.1,Emirates,2 escalas,Económica Premium,1302.53,1198.33
París,CDG,Accra,ACC,1.5,LATAM,1 escala,Económica,690.18,634.97
París,CDG,Adís Abeba,ADD,11.1,LATAM,1 escala,Business,752.01,691.85
París,CDG,Adís Abeba,ADD,13.1,United,2 escalas,Business,1182.98,1088.34
París,CDG,Amman,AMM,17.5,Turkish Airlines,1 escala,Primera Clase,455.55,419.11
París,CDG,Amman,AMM,11.2,Turkish Airlines,Directo,Primera Clase,2418.98,2225.46
París,CDG,Amsterdam,AMS,2.7,Air France,2 escalas,Business,1559.52,1434.76
París,CDG,Amsterdam,AMS,10.4,Singapore Airlines,1 escala,Business,2437.0,2242.04
París,CDG,Anchorage,ANC,12.5,Emirates,Directo,Primera Clase,932.14,857.57
París,CDG,Andorra la Vella,LEU,7.4,American Airlines,1 escala,Económica Premium,347.08,319.31
París,CDG,Andorra la Vella,LEU,1.6,LATAM,2 escalas,Económica,1046.01,962.33
París,CDG,Argel,ALG,7.5,LATAM,Directo,Económica,908.4,835.73
París,CDG,Auckland,AKL,15.5,United,2 escalas,Económica,1570.31,1444.69
París,CDG,Bagdad,BGW,10.1,Aeroméxico,1 escala,Business,1344.27,1236.73
París,CDG,Bali,DPS,17.9,Singapore Airlines,1 escala,Business,180.78,166.32
París,CDG,Bangalore,BLR,14.0,Lufthansa,2 escalas,Business,1154.5,1062.14
París,CDG,Bangalore,BLR,10.5,United,2 escalas,Económica Premium,1284.73,1181.95
París,CDG,Bangkok,BKK,10.6,Qatar Airways,1 escala,Económica Premium,657.53,604.93
París,CDG,Barcelona,BCN,17.6,British Airways,1 escala,Primera Clase,414.67,381.5
París,CDG,Beijing,PEK,7.9,LATAM,Directo,Business,994.44,914.88
París,CDG,Beijing,PEK,8.9,Delta,Directo,Primera Clase,3672.99,3379.15
París,CDG,Beijing,PEK,17.8,Air France,1 escala,Económica Premium,151.47,139.35
París,CDG,Beirut,BEY,12.4,Delta,1 escala,Económica Premium,1317.4,1212.01
París,CDG,Berlín,BER,16.7,United,Directo,Económica Premium,762.19,701.21
París,CDG,Bogotá,BOG,16.4,Air France,2 escalas,Económica,621.21,571.51
París,CDG,Brisbane,BNE,13.7,Singapore Airlines,Directo,Business,583.96,537.24
París,CDG,Brisbane,BNE,13.0,British Airways,Directo,Económica Premium,954.56,878.2
París,CDG,Brisbane,BNE,10.5,American Airlines,2 escalas,Business,1067.0,981.64
París,CDG,Brussels,BRU,3.7,United,1 escala,Económica,601.02,552.94
París,CDG,Brussels,BRU,13.1,British Airways,Directo,Económica Premium,1027.44,945.24
París,CDG,Budapest,BUD,15.8,American Airlines,1 escala,Económica Premium,1073.92,988.01
París,CDG,Budapest,BUD,2.2,Delta,2 escalas,Económica Premium,798.69,734.79
París,CDG,Buenos Aires,EZE,5.6,LATAM,1 escala,Económica,1371.48,1261.76
París,CDG,Cairo,CAI,5.6,Turkish Airlines,Directo,Business,1076.49,990.37
París,CDG,Calgary,YYC,9.9,Air France,Directo,Primera Clase,769.01,707.49
París,CDG,Calgary,YYC,15.4,Air France,Directo,Económica Premium,1508.16,1387.51
París,CDG,Cancún,CUN,17.7,Delta,Directo,Primera Clase,333.16,306.51
París,CDG,Cape Town,CPT,13.0,Singapore Airlines,Directo,Económica Premium,1264.93,1163.74
París,CDG,Caracas,CCS,2.6,LATAM,Directo,Económica Premium,1114.69,1025.51
París,CDG,Cartagena,CTG,5.8,Turkish Airlines,2 escalas,Económica,1245.68,1146.03
París,CDG,Cartagena,CTG,9.5,United,2 escalas,Business,342.11,314.74
París,CDG,Cartagena,CTG,11.7,American Airlines,2 escalas,Económica Premium,1265.81,1164.55
París,CDG,Cartagena,CTG,14.3,Aeroméxico,1 escala,Primera Clase,695.13,639.52
París,CDG,Casablanca,CMN,3.7,American Airlines,1 escala,Primera Clase,806.6,742.07
París,CDG,Casablanca,CMN,9.4,Emirates,2 escalas,Económica Premium,1296.46,1192.74
París,CDG,Casablanca,CMN,16.1,Delta,1 escala,Económica,430.69,396.23
París,CDG,Casablanca,CMN,3.1,British Airways,Directo,Económica Premium,184.74,169.96
París,CDG,Chennai,MAA,10.7,Qatar Airways,Directo,Económica,723.12,665.27
París,CDG,Chicago,ORD,7.6,Turkish Airlines,Directo,Business,1773.63,1631.74
París,CDG,Chicago,ORD,10.8,Turkish Airlines,Directo,Business,2462.56,2265.56
París,CDG,Ciudad de México,MEX,3.9,British Airways,2 escalas,Económica,199.31,183.37
París,CDG,Ciudad de México,MEX,5.7,Aeroméxico,2 escalas,Económica Premium,979.14,900.81
París,CDG,Copenhague,CPH,13.3,Turkish Airlines,2 escalas,Business,408.52,375.84
París,CDG,Doha,DOH,17.1,British Airways,Directo,Business,1385.39,1274.56
París,CDG,Dubai,DXB,16.6,Emirates,2 escalas,Primera Clase,275.54,253.5
París,CDG,Dubai,DXB,1.9,LATAM,1 escala,Económica,1028.41,946.14
París,CDG,Dublin,DUB,5.3,British Airways,Directo,Primera Clase,180.72,166.26
París,CDG,Estambul,IST,11.6,Air France,2 escalas,Económica,1590.18,1462.97
París,CDG,Estocolmo,ARN,12.2,LATAM,2 escalas,Business,1799.76,1655.78
París,CDG,Estocolmo,ARN,12.7,Delta,2 escalas,Business,2367.82,2178.39
París,CDG,Ginebra,GVA,12.3,British Airways,Directo,Económica Premium,1678.47,1544.19
París,CDG,Ginebra,GVA,7.0,American Airlines,2 escalas,Económica,805.8,741.34
París,CDG,Guadalajara,GDL,4.1,American Airlines,Directo,Business,600.78,552.72
París,CDG,Guadalajara,GDL,1.7,Aeroméxico,2 escalas,Business,2106.55,1938.03
París,CDG,Guadalajara,GDL,9.4,American Airlines,Directo,Business,1599.06,1471.14
París,CDG,Hanoi,HAN,13.2,Lufthansa,Directo,Business,450.54,414.5
París,CDG,Hanoi,HAN,8.0,Aeroméxico,1 escala,Business,1765.69,1624.43
París,CDG,Helsinki,HEL,13.1,Turkish Airlines,1 escala,Primera Clase,917.71,844.29
París,CDG,Ho Chi Minh City,SGN,7.3,Lufthansa,1 escala,Business,366.76,337.42
París,CDG,Ho Chi Minh City,SGN,3.7,Emirates,Directo,Económica Premium,450.4,414.37
París,CDG,Ho Chi Minh City,SGN,2.0,Lufthansa,Directo,Primera Clase,740.81,681.55
París,CDG,Honolulu,HNL,10.4,LATAM,2 escalas,Económica,1353.58,1245.29
París,CDG,Honolulu,HNL,6.4,American Airlines,1 escala,Primera Clase,3533.94,3251.22
París,CDG,Honolulu,HNL,17.4,American Airlines,Directo,Primera Clase,4170.41,3836.78
París,CDG,Houston,IAH,6.8,Singapore Airlines,Directo,Primera Clase,1616.07,1486.78
París,CDG,Hyderabad,HYD,3.5,Turkish Airlines,Directo,Primera Clase,1221.47,1123.75
París,CDG,Hyderabad,HYD,8.8,Aeroméxico,Directo,Primera Clase,625.96,575.88
París,CDG,Jakarta,CGK,12.3,American Airlines,Directo,Business,719.6,662.03
París,CDG,Jakarta,CGK,12.3,Lufthansa,1 escala,Económica Premium,1140.91,1049.64
París,CDG,Jerusalén,TLV,13.2,Aeroméxico,Directo,Primera Clase,83.85,77.14
París,CDG,Johannesburg,JNB,2.0,Delta,Directo,Primera Clase,530.9,488.43
París,CDG,Johannesburg,JNB,11.5,LATAM,2 escalas,Business,303.92,279.61
París,CDG,Kitzbühel,,6.7,Lufthansa,1 escala,Business,995.08,915.47
París,CDG,Kuala Lumpur,KUL,9.7,United,1 escala,Económica,1946.56,1790.84
París,CDG,Kuwait City,KWI,6.3,British Airways,1 escala,Económica,1107.36,1018.77
París,CDG,Lima,LIM,5.8,Emirates,2 escalas,Business,1795.55,1651.91
París,CDG,Lima,LIM,16.6,American Airlines,1 escala,Primera Clase,293.99,270.47
París,CDG,Lisboa,LIS,6.3,Delta,2 escalas,Económica,192.1,176.73
París,CDG,Londres,LHR,11.3,British Airways,2 escalas,Económica Premium,167.49,154.09
París,CDG,Londres,LHR,16.4,Aeroméxico,Directo,Económica Premium,827.89,761.66
París,CDG,Los Angeles,LAX,8.2,Singapore Airlines,1 escala,Business,1466.33,1349.02
París,CDG,Los Angeles,LAX,2.8,Air France,2 escalas,Económica,555.05,510.65
París,CDG,Luxembourg,LUX,10.3,Turkish Airlines,2 escalas,Primera Clase,1069.9,984.31
París,CDG,Madrid,MAD,9.6,Lufthansa,2 escalas,Económica,1451.56,1335.44
París,CDG,Madrid,MAD,6.3,Singapore Airlines,2 escalas,Business,2415.14,2221.93
París,CDG,Manama,BAH,17.3,Singapore Airlines,1 escala,Business,724.15,666.22
París,CDG,Manama,BAH,11.0,United,2 escalas,Económica,760.25,699.43
París,CDG,Manila,MNL,4.7,United,2 escalas,Económica,1787.0,1644.04
París,CDG,Manila,MNL,12.4,American Airlines,Directo,Primera Clase,1661.77,1528.83
París,CDG,Marrakech,RAK,7.5,Qatar Airways,2 escalas,Business,258.63,237.94
